"vjGene","HD01","HD02","HD03","HD04","HD05","HD06","HD07","HD08","HD09","HD10","HD11","HD12","HD13","HD14","HD15","HD16","HD17","HD18","HD19","HD20","HD21","HD22","HD23","HD24","HD25","HD26","HD27","HD28","HD29","HD30","HD31","HD32","HD33","HD34","HD35","HD36","HD37","HD38","HD39"
"TRBV10-1_TRBJ1-1",8.19336337566571e-05,0.00149142431021626,0.000105474106106951,9.57946163425616e-05,0.000393313667649951,0.000376506024096386,0.0012531328320802,0.00080006400512041,0.000322338025142366,0.00085278754930178,NA,0.000130967192718224,0.000253549695740365,0.000163867267513314,0.000745712155108128,0.000949266954962557,0.000191589232685123,NA,NA,0.0012531328320802,0.000240019201536123,0.000214892016761577,NA,NA,NA,NA,NA,NA,NA,0.000287383849027685,9.83284169124877e-05,9.41265060240964e-05,NA,8.0006400512041e-05,0.000322338025142366,0.000319795330988168,0.000630119722747322,0.00032741798179556,8.45165652467884e-05
"TRBV10-1_TRBJ1-2",0.000118259224219489,0.0033955857385399,0.000252812539501959,0.000140548137737175,0.000282805429864253,0.000114259597806216,NA,0.00072020165646381,NA,0.00681818181818182,8.88572951839346e-05,0.000201999798000202,0.000683215668412662,0.000354777672658467,0.0033955857385399,0.000379218809252939,0.00028109627547435,NA,NA,0.00108225108225108,0.000180050414115952,NA,0.00113636363636364,NA,NA,NA,NA,NA,NA,0.000702740688685875,0.00042420814479638,0.000114259597806216,NA,0.000360100828231905,0.000303122158229767,0.00227272727272727,0.000533143771103608,0.000807999192000808,0.000910954224550216
"TRBV10-1_TRBJ1-3",NA,0.000814332247557003,NA,NA,NA,NA,0.000330687830687831,NA,NA,NA,0.000151538111835127,NA,0.000102333196889071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000440852314474651,NA,NA,NA,NA,0.000122354092744402,0.00375,0.000151538111835127,0.000251509054325956,NA
"TRBV10-1_TRBJ1-4",0.000188253012048193,0.000835421888053467,NA,0.000214892016761577,0.000106598443662723,NA,0.000196450789077336,0.000253549695740365,0.000163867267513314,NA,0.000105474106106951,NA,0.000196656833824975,NA,0.0012531328320802,8.0006400512041e-05,NA,NA,NA,6.5483596359112e-05,NA,NA,NA,NA,NA,NA,NA,0.000417710944026733,8.0006400512041e-05,0.000322338025142366,0.000106598443662723,NA,NA,0.000338066260987153,8.19336337566571e-05,0.000745712155108128,0.000316422318320852,0.000383178465370246,0.000196656833824975
"TRBV10-1_TRBJ1-5",NA,0.00108225108225108,0.000180050414115952,0.000151561079114883,NA,0.000266571885551804,0.000504999495000505,0.00182190844910043,0.000473036896877956,0.00509337860780985,0.00012640626975098,NA,0.000282805429864253,NA,0.000541125541125541,0.000900252070579762,0.000303122158229767,0.00113636363636364,8.88572951839346e-05,NA,NA,0.000236518448438978,NA,NA,0.000140548137737175,NA,0.000114259597806216,NA,NA,0.000151561079114883,0.00227272727272727,NA,0.000201999798000202,0.000455477112275108,0.000118259224219489,0.0033955857385399,0.000505625079003919,0.00028109627547435,0.000141402714932127
"TRBV10-1_TRBJ1-6",0.000167364016736402,NA,0.00202565833896016,NA,0.00125,0.000303076223670253,NA,0.000102333196889071,NA,0.00244299674267101,NA,NA,0.000365363536719035,NA,NA,NA,NA,NA,NA,NA,0.000102333196889071,NA,0.000814332247557003,NA,NA,NA,NA,0.000220458553791887,0.000675219446320054,0.000244708185488805,NA,0.000151538111835127,0.000251509054325956,0.000102333196889071,0.000231000231000231,0.00325732899022801,NA,NA,0.000182681768359518
"TRBV10-1_TRBJ2-1",0.00141776937618147,0.000261934385436448,0.000760649087221095,NA,0.00447427293064877,0.000527370530534754,0.000191589232685123,0.000393313667649951,NA,0.00167084377610693,8.0006400512041e-05,0.000429784033523155,0.000319795330988168,0.000630119722747322,0.000130967192718224,0.000422582826233942,0.000163867267513314,0.00372856077554064,0.000527370530534754,0.000287383849027685,0.000491642084562439,0.000188253012048193,0.000417710944026733,NA,0.000214892016761577,NA,0.000157529930686831,6.5483596359112e-05,0.000591615956727519,0.000491601802539943,0.00298284862043251,0.000210948212213901,0.000191589232685123,0.000294985250737463,0.000282379518072289,0.00334168755221387,0.000880070405632451,0.000429784033523155,0.000746189105639058
"TRBV10-1_TRBJ2-2",0.000355429180735738,0.000504999495000505,0.000910954224550216,0.000236518448438978,0.0067911714770798,0.000379218809252939,0.000140548137737175,0.00155542986425339,0.000571297989031079,0.00378787878787879,0.00072020165646381,0.000606244316459533,0.00681818181818182,0.000444286475919673,0.000100999899000101,0.00159416989296288,0.000236518448438978,0.00509337860780985,0.00012640626975098,0.000140548137737175,0.000707013574660633,0.000228519195612431,NA,NA,0.000151561079114883,NA,8.88572951839346e-05,0.000100999899000101,0.000227738556137554,0.00141911069063387,0.0067911714770798,0.000252812539501959,0.000140548137737175,NA,0.000571297989031079,0.00324675324675325,0.000900252070579762,0.00045468323734465,0.00681818181818182
"TRBV10-1_TRBJ2-3",0.000909228671010759,0.000503018108651912,0.000511665984445354,0.000115500115500115,0.00814332247557003,0.000582156891282201,0.000587803085966201,0.000639386189258312,0.000334728033472803,0.000330687830687831,0.000675219446320054,0.000122354092744402,0.005,0.000151538111835127,0.000125754527162978,0.00143266475644699,0.000115500115500115,0.00325732899022801,0.00014553922282055,0.000587803085966201,0.000730727073438071,0.000334728033472803,NA,NA,0.000122354092744402,NA,0.000151538111835127,0.000377263581488934,0.000102333196889071,0.000693000693000693,0.00488599348534202,0.00014553922282055,0.000293901542983101,0.000182681768359518,0.000836820083682008,0.000771604938271605,0.00270087778528022,0.000978832741955218,0.00375
"TRBV10-1_TRBJ2-4",NA,9.57946163425616e-05,NA,NA,0.000417710944026733,NA,NA,NA,NA,NA,0.000169033130493577,8.19336337566571e-05,NA,NA,NA,NA,NA,0.000835421888053467,NA,NA,NA,0.000157529930686831,NA,NA,NA,0.000745712155108128,NA,NA,9.83284169124877e-05,NA,NA,NA,0.000214892016761577,NA,NA,NA,NA,NA,NA
